idade,tipo de emprego,estado civil,educação,inadimplência,saldo (em euros),habitação,empréstimo,contato,dia,mês,duração (em segundos),campanha,pdias,anterior,presultado,y
30,serviços gerais,solteiro,secundário,não,566,não,não,celular,5,fevereiro,110,1,-1,0,desconhecido,não
52,técnico,divorciado,secundário,não,204,não,não,celular,7,agosto,134,2,-1,0,desconhecido,não
36,técnico,casado,secundário,não,480,não,não,celular,20,outubro,213,1,-1,0,desconhecido,sim
36,técnico,solteiro,secundário,não,1855,sim,não,celular,4,fevereiro,75,1,273,1,falha,não
46,serviços gerais,casado,secundário,não,1034,não,não,celular,8,agosto,109,2,-1,0,desconhecido,não
57,gerente,casado,terciário,não,3250,não,não,celular,20,agosto,162,3,-1,0,desconhecido,não
28,gerente,solteiro,secundário,não,1633,não,não,celular,5,junho,275,1,-1,0,desconhecido,sim
46,serviços gerais,casado,secundário,não,0,sim,não,celular,22,junho,154,1,124,1,outro,não
55,aposentado,casado,primario,não,3334,não,não,celular,14,agosto,632,4,-1,0,desconhecido,sim
33,gerente,casado,terciário,não,4020,sim,sim,celular,15,abril,251,1,-1,0,desconhecido,não
53,gerente,casado,secundário,não,66,não,sim,telefone,8,julho,141,1,-1,0,desconhecido,não
41,técnico,solteiro,secundário,não,-41,sim,sim,celular,3,abril,154,1,-1,0,desconhecido,não
60,operário,casado,secundário,não,322,sim,não,celular,7,maio,63,1,-1,0,desconhecido,não
35,empresário,casado,primario,não,2643,não,sim,celular,8,julho,259,1,-1,0,desconhecido,não
43,operário,divorciado,primario,não,49,sim,não,desconhecido,9,maio,100,1,-1,0,desconhecido,não
57,administrador,divorciado,primario,não,1,não,não,desconhecido,15,maio,17,10,-1,0,desconhecido,não
46,administrador,casado,secundário,não,3098,sim,não,telefone,21,novembro,192,9,-1,0,desconhecido,não
31,operário,casado,primario,não,352,sim,não,desconhecido,19,maio,97,9,-1,0,desconhecido,não
53,técnico,casado,secundário,não,65,não,não,celular,25,agosto,41,2,-1,0,desconhecido,não
35,operário,casado,secundário,não,1949,sim,não,desconhecido,2,junho,200,3,-1,0,desconhecido,não
32,administrador,solteiro,secundário,não,739,sim,não,celular,20,novembro,91,3,-1,0,desconhecido,não
48,gerente,casado,terciário,não,1167,sim,sim,celular,1,junho,264,1,-1,0,desconhecido,sim
50,administrador,casado,secundário,não,231,sim,não,celular,21,novembro,397,2,-1,0,desconhecido,não
40,operário,casado,primario,não,1136,sim,não,desconhecido,21,maio,86,1,-1,0,desconhecido,não
42,empresário,casado,terciário,não,233,não,não,celular,5,fevereiro,446,1,-1,0,desconhecido,não
59,administrador,casado,secundário,não,817,não,não,celular,9,abril,304,1,-1,0,desconhecido,não
27,operário,solteiro,primario,não,1128,sim,não,desconhecido,30,junho,88,4,-1,0,desconhecido,não
32,gerente,solteiro,terciário,não,1831,sim,não,celular,20,abril,86,2,-1,0,desconhecido,não
35,técnico,solteiro,secundário,não,450,sim,não,celular,13,maio,63,1,-1,0,desconhecido,não
28,serviços gerais,casado,secundário,não,0,sim,não,celular,5,maio,335,2,281,8,falha,não
37,gerente,divorciado,secundário,não,414,não,não,celular,29,janeiro,293,2,162,4,falha,não
57,gerente,casado,primario,não,1052,sim,não,desconhecido,13,maio,227,4,-1,0,desconhecido,não
42,administrador,solteiro,secundário,não,1022,sim,não,desconhecido,5,maio,146,2,-1,0,desconhecido,não
55,administrador,casado,primario,não,343,sim,não,celular,14,julho,276,3,-1,0,desconhecido,não
52,gerente,casado,terciário,não,1944,sim,não,celular,15,abril,238,3,323,2,falha,não
26,operário,solteiro,secundário,não,-32,sim,sim,celular,31,julho,14,6,-1,0,desconhecido,não
52,técnico,casado,secundário,não,1781,sim,não,desconhecido,19,maio,144,2,-1,0,desconhecido,não
26,gerente,solteiro,terciário,não,350,não,não,celular,8,julho,367,1,-1,0,desconhecido,não
33,desempregado,casado,secundário,não,2,sim,não,celular,16,julho,132,1,-1,0,desconhecido,não
24,operário,solteiro,primario,não,111,sim,sim,desconhecido,27,maio,42,4,-1,0,desconhecido,não
37,gerente,divorciado,terciário,não,168,sim,não,desconhecido,5,junho,227,1,-1,0,desconhecido,não
28,técnico,solteiro,secundário,não,3,não,não,telefone,18,maio,40,8,349,6,falha,não
30,técnico,solteiro,secundário,não,102,sim,não,desconhecido,7,maio,614,2,-1,0,desconhecido,não
33,operário,casado,primario,não,0,sim,não,desconhecido,15,maio,270,1,-1,0,desconhecido,não
55,desconhecido,casado,primario,não,159,não,não,desconhecido,4,setembro,15,1,-1,0,desconhecido,não
33,operário,casado,secundário,não,1134,sim,não,desconhecido,23,maio,304,2,-1,0,desconhecido,não
42,operário,casado,secundário,não,352,sim,não,celular,11,maio,79,3,-1,0,desconhecido,não
37,gerente,casado,terciário,não,865,sim,não,celular,3,junho,101,1,-1,0,desconhecido,não
59,operário,casado,primario,não,179,sim,não,desconhecido,5,maio,55,3,-1,0,desconhecido,não
27,operário,solteiro,secundário,não,5,sim,não,desconhecido,19,maio,205,3,-1,0,desconhecido,não
23,estudante,casado,terciário,sim,-230,sim,não,celular,18,maio,259,2,-1,0,desconhecido,não
51,gerente,divorciado,terciário,não,0,não,não,celular,13,agosto,60,2,-1,0,desconhecido,não
50,operário,casado,primario,não,3924,sim,não,celular,20,abril,122,2,-1,0,desconhecido,não
43,técnico,casado,secundário,não,764,sim,não,celular,14,julho,557,5,-1,0,desconhecido,não
37,operário,divorciado,primario,não,511,sim,não,telefone,11,maio,42,1,-1,0,desconhecido,não
34,gerente,solteiro,terciário,não,4348,sim,não,celular,28,agosto,373,8,-1,0,desconhecido,não
41,gerente,casado,terciário,não,3016,sim,não,celular,14,julho,80,3,-1,0,desconhecido,não
26,estudante,solteiro,secundário,não,279,não,não,celular,7,maio,239,3,-1,0,desconhecido,não
49,gerente,divorciado,terciário,não,1405,não,não,desconhecido,8,junho,29,1,-1,0,desconhecido,não
29,operário,solteiro,secundário,não,908,sim,não,desconhecido,20,junho,1663,1,-1,0,desconhecido,sim
30,gerente,solteiro,terciário,não,162,sim,não,desconhecido,20,maio,186,4,-1,0,desconhecido,não
38,serviços gerais,divorciado,secundário,não,792,não,não,desconhecido,6,junho,430,1,-1,0,desconhecido,não
58,gerente,casado,secundário,não,111,não,não,telefone,24,março,58,2,-1,0,desconhecido,não
34,estudante,solteiro,desconhecido,não,1281,não,não,celular,25,agosto,279,1,117,1,falha,não
53,serviços gerais,divorciado,desconhecido,não,1012,sim,não,celular,28,julho,332,2,-1,0,desconhecido,não
50,gerente,casado,terciário,não,2881,não,não,celular,5,agosto,510,2,2,5,outro,não
30,operário,solteiro,secundário,não,445,sim,não,celular,16,abril,218,1,330,2,falha,não
40,gerente,casado,secundário,não,643,sim,não,celular,17,abril,74,2,256,1,falha,não
57,empregada doméstica,solteiro,secundário,não,254,não,não,celular,8,outubro,676,1,-1,0,desconhecido,não
40,gerente,casado,terciário,não,-1212,sim,não,celular,15,maio,1259,2,333,18,falha,não
41,técnico,casado,secundário,não,2125,sim,sim,celular,21,novembro,285,3,116,4,falha,não
53,técnico,divorciado,desconhecido,não,629,sim,não,celular,8,maio,298,1,-1,0,desconhecido,não
48,operário,casado,secundário,não,-202,sim,sim,celular,30,julho,225,4,-1,0,desconhecido,não
32,técnico,solteiro,secundário,não,271,sim,não,celular,13,maio,80,2,268,2,outro,não
34,gerente,casado,terciário,não,703,sim,não,celular,14,abril,342,1,-1,0,desconhecido,sim
46,operário,casado,secundário,não,-216,sim,não,celular,28,julho,404,3,-1,0,desconhecido,não
45,serviços gerais,divorciado,secundário,não,88,não,sim,celular,7,julho,332,1,-1,0,desconhecido,não
51,administrador,solteiro,terciário,não,16,sim,não,celular,30,janeiro,158,1,-1,0,desconhecido,não
31,gerente,casado,secundário,não,466,sim,não,celular,14,maio,164,1,-1,0,desconhecido,não
47,técnico,casado,secundário,não,-75,sim,não,celular,4,fevereiro,57,1,247,1,outro,não
32,operário,casado,secundário,não,456,não,não,celular,12,maio,121,1,-1,0,desconhecido,não
41,técnico,casado,secundário,não,77,sim,não,celular,7,maio,56,1,-1,0,desconhecido,não
37,serviços gerais,solteiro,secundário,não,-244,não,não,desconhecido,3,julho,178,1,-1,0,desconhecido,não
27,operário,solteiro,primario,não,1209,não,não,celular,29,janeiro,283,1,-1,0,desconhecido,não
27,serviços gerais,casado,secundário,não,58,sim,não,celular,7,maio,113,1,337,2,outro,não
50,gerente,casado,secundário,sim,421,não,não,celular,20,novembro,22,5,-1,0,desconhecido,não
31,gerente,solteiro,terciário,não,112,sim,não,celular,2,fevereiro,159,2,271,1,falha,não
40,autônomo,casado,terciário,não,13669,não,não,celular,15,outubro,138,1,136,8,outro,não
43,gerente,casado,terciário,não,1429,sim,não,celular,19,novembro,1015,1,198,2,outro,sim
39,técnico,casado,terciário,não,794,não,não,telefone,2,fevereiro,182,1,-1,0,desconhecido,não
31,empresário,solteiro,terciário,não,1957,não,não,celular,4,fevereiro,112,3,-1,0,desconhecido,não
48,técnico,casado,secundário,não,454,sim,não,celular,10,julho,114,1,-1,0,desconhecido,não
32,operário,solteiro,primario,não,882,não,sim,celular,29,julho,80,8,-1,0,desconhecido,não
47,desempregado,casado,primario,não,168,sim,não,telefone,30,janeiro,66,1,241,1,outro,não
35,gerente,solteiro,terciário,não,714,sim,não,celular,26,agosto,135,22,-1,0,desconhecido,não
42,gerente,solteiro,terciário,não,0,não,não,celular,7,setembro,99,1,-1,0,desconhecido,não
47,operário,casado,secundário,não,1996,não,não,desconhecido,5,junho,761,2,-1,0,desconhecido,sim
59,aposentado,casado,secundário,não,163,não,não,celular,24,julho,464,1,-1,0,desconhecido,não
38,administrador,casado,secundário,não,3190,sim,não,desconhecido,20,junho,20,2,-1,0,desconhecido,não
50,desempregado,casado,secundário,não,1772,não,não,celular,29,julho,206,4,-1,0,desconhecido,não
27,serviços gerais,solteiro,secundário,não,-151,não,não,celular,8,julho,283,2,-1,0,desconhecido,não
55,empregada doméstica,casado,primario,não,16,não,não,desconhecido,20,junho,64,1,-1,0,desconhecido,não
39,serviços gerais,solteiro,secundário,não,7066,sim,não,celular,15,maio,667,3,357,3,outro,sim
31,técnico,solteiro,terciário,não,454,não,não,celular,4,fevereiro,73,3,-1,0,desconhecido,não
37,empresário,casado,terciário,não,4798,sim,não,desconhecido,20,maio,156,2,-1,0,desconhecido,não
28,técnico,solteiro,secundário,sim,-298,sim,não,desconhecido,3,junho,559,7,-1,0,desconhecido,não
42,técnico,casado,secundário,não,439,não,não,celular,20,agosto,143,2,-1,0,desconhecido,não
40,serviços gerais,divorciado,secundário,não,1927,sim,não,desconhecido,15,maio,62,1,-1,0,desconhecido,não
59,gerente,solteiro,secundário,não,671,sim,sim,celular,29,janeiro,219,2,259,5,falha,não
40,serviços gerais,solteiro,secundário,não,65,sim,não,celular,15,maio,15,3,-1,0,desconhecido,não
43,técnico,casado,secundário,não,-932,sim,não,celular,16,abril,567,1,-1,0,desconhecido,não
38,técnico,solteiro,secundário,não,4366,sim,não,celular,29,julho,188,2,-1,0,desconhecido,não
54,aposentado,casado,primario,não,0,sim,não,celular,11,julho,159,2,-1,0,desconhecido,não
41,operário,casado,secundário,não,4900,sim,não,telefone,31,julho,121,2,-1,0,desconhecido,não
55,empregada doméstica,divorciado,primario,não,976,não,não,celular,28,junho,345,1,94,3,outro,sim
33,gerente,casado,terciário,não,148,não,não,desconhecido,20,maio,717,1,-1,0,desconhecido,não
46,operário,casado,secundário,não,5,não,não,celular,18,agosto,71,3,-1,0,desconhecido,não
36,gerente,casado,secundário,não,-148,não,não,celular,18,novembro,144,2,-1,0,desconhecido,não
48,técnico,divorciado,terciário,não,113,não,sim,celular,22,julho,38,1,-1,0,desconhecido,não
42,gerente,casado,secundário,não,-105,sim,não,celular,28,agosto,60,2,-1,0,desconhecido,não
46,gerente,divorciado,terciário,não,624,não,não,celular,17,setembro,336,2,183,2,sucesso,sim
49,técnico,casado,secundário,sim,-1680,sim,sim,desconhecido,27,junho,92,4,-1,0,desconhecido,não
36,operário,casado,secundário,não,-461,não,não,celular,11,maio,254,2,353,1,falha,não
34,técnico,solteiro,terciário,não,144,sim,sim,celular,14,outubro,104,1,85,19,falha,não
51,empresário,divorciado,terciário,não,4,sim,sim,celular,20,abril,74,5,-1,0,desconhecido,não
58,operário,casado,primario,não,309,não,não,celular,19,agosto,156,2,-1,0,desconhecido,não
48,gerente,casado,terciário,não,866,não,não,celular,29,janeiro,146,2,-1,0,desconhecido,não
41,administrador,solteiro,secundário,não,1020,sim,não,desconhecido,19,maio,882,1,-1,0,desconhecido,sim
49,autônomo,casado,primario,não,489,sim,não,desconhecido,27,maio,84,4,-1,0,desconhecido,não
43,gerente,casado,primario,não,8167,sim,não,desconhecido,19,maio,114,2,-1,0,desconhecido,não
32,operário,solteiro,secundário,não,-255,não,sim,desconhecido,2,julho,957,3,-1,0,desconhecido,não
54,aposentado,casado,secundário,não,3671,não,não,desconhecido,11,junho,67,3,-1,0,desconhecido,não
33,operário,divorciado,primario,não,636,sim,não,celular,9,julho,211,11,-1,0,desconhecido,não
35,técnico,casado,secundário,não,141,sim,não,celular,19,agosto,299,2,-1,0,desconhecido,não
56,técnico,casado,secundário,não,150,sim,sim,celular,11,maio,102,6,349,1,falha,não
57,técnico,casado,secundário,não,839,não,sim,desconhecido,5,maio,225,1,-1,0,desconhecido,não
31,empregada doméstica,solteiro,primario,não,26965,não,não,celular,21,abril,654,2,-1,0,desconhecido,sim
33,técnico,solteiro,secundário,não,716,sim,não,celular,14,maio,234,2,-1,0,desconhecido,não
29,técnico,solteiro,terciário,não,2485,não,não,telefone,24,julho,48,6,-1,0,desconhecido,não
38,gerente,solteiro,terciário,não,15030,sim,não,celular,13,maio,167,1,174,7,outro,não
37,administrador,casado,secundário,não,11303,não,não,celular,26,maio,500,2,-1,0,desconhecido,não
33,empresário,casado,terciário,não,595,não,não,celular,7,agosto,22,2,-1,0,desconhecido,não
30,gerente,solteiro,terciário,não,19358,não,não,celular,19,novembro,258,2,-1,0,desconhecido,não
31,autônomo,solteiro,secundário,não,203,não,sim,celular,19,novembro,177,1,-1,0,desconhecido,não
28,técnico,solteiro,terciário,não,183,sim,sim,desconhecido,28,maio,62,2,-1,0,desconhecido,não
26,administrador,solteiro,secundário,não,255,não,não,celular,30,abril,457,1,80,1,sucesso,sim
31,técnico,solteiro,secundário,não,102,sim,não,telefone,17,abril,460,2,345,2,falha,não
50,empregada doméstica,divorciado,primario,não,94,sim,não,celular,22,julho,184,4,-1,0,desconhecido,não
45,empresário,casado,primario,não,58,sim,não,telefone,13,maio,119,3,371,3,falha,não
48,gerente,casado,primario,não,606,não,não,celular,5,março,77,6,-1,0,desconhecido,não
41,técnico,casado,secundário,não,0,não,sim,celular,23,julho,107,1,-1,0,desconhecido,não
60,técnico,casado,primario,não,65,sim,não,desconhecido,9,maio,1028,2,-1,0,desconhecido,sim
41,operário,casado,secundário,não,338,sim,não,desconhecido,14,maio,87,1,-1,0,desconhecido,não
43,operário,casado,primario,não,757,sim,não,desconhecido,9,maio,315,4,-1,0,desconhecido,não
36,gerente,casado,terciário,não,9269,sim,sim,celular,19,novembro,107,2,-1,0,desconhecido,não
40,operário,casado,primario,não,1206,não,sim,telefone,16,julho,201,5,-1,0,desconhecido,não
28,gerente,solteiro,terciário,não,882,não,sim,celular,29,janeiro,94,1,205,2,falha,não
27,estudante,solteiro,terciário,não,5291,não,não,celular,12,novembro,192,2,92,2,falha,sim
49,gerente,solteiro,secundário,não,61,sim,não,celular,29,janeiro,185,2,246,1,falha,não
37,técnico,casado,terciário,não,0,sim,não,celular,17,novembro,77,1,-1,0,desconhecido,não
31,operário,casado,secundário,não,1407,sim,não,celular,6,maio,142,3,-1,0,desconhecido,não
31,técnico,solteiro,secundário,sim,25,não,não,celular,2,fevereiro,381,1,-1,0,desconhecido,não
31,operário,casado,secundário,não,1354,sim,sim,celular,17,novembro,222,2,-1,0,desconhecido,não
35,operário,casado,primario,não,793,sim,não,celular,17,abril,106,1,-1,0,desconhecido,não
51,operário,divorciado,desconhecido,não,10287,sim,não,desconhecido,29,maio,117,1,-1,0,desconhecido,não
33,técnico,solteiro,secundário,não,5235,não,não,celular,7,agosto,67,3,-1,0,desconhecido,não
30,técnico,solteiro,terciário,não,3,sim,não,celular,6,maio,45,2,169,2,falha,não
58,técnico,solteiro,secundário,não,409,não,sim,celular,14,julho,643,2,-1,0,desconhecido,não
34,administrador,casado,terciário,não,35,sim,não,celular,15,outubro,76,1,69,2,falha,não
45,gerente,casado,terciário,não,-459,não,não,celular,21,agosto,508,6,-1,0,desconhecido,não
28,serviços gerais,solteiro,secundário,não,198,não,não,celular,5,julho,128,2,-1,0,desconhecido,sim
31,operário,casado,primario,não,99,sim,não,celular,17,abril,193,2,322,1,outro,não
40,gerente,casado,terciário,não,60,não,não,desconhecido,16,junho,172,6,-1,0,desconhecido,não
30,serviços gerais,solteiro,secundário,não,3485,não,não,celular,2,fevereiro,142,2,-1,0,desconhecido,não
34,empresário,casado,secundário,não,-139,sim,sim,desconhecido,27,maio,492,2,-1,0,desconhecido,não
40,operário,casado,secundário,não,952,não,sim,desconhecido,12,junho,140,1,-1,0,desconhecido,não
59,aposentado,casado,primario,não,1427,não,não,desconhecido,18,junho,140,2,-1,0,desconhecido,não
43,técnico,solteiro,terciário,não,1017,sim,não,desconhecido,19,maio,257,2,-1,0,desconhecido,não
41,gerente,casado,terciário,não,-29,não,não,celular,29,janeiro,41,2,266,2,falha,não
33,técnico,divorciado,secundário,não,9,não,não,celular,21,agosto,91,2,-1,0,desconhecido,não
33,gerente,casado,secundário,não,4040,sim,não,celular,20,abril,132,2,-1,0,desconhecido,não
36,operário,casado,secundário,não,13,não,não,desconhecido,3,junho,284,1,-1,0,desconhecido,não
32,autônomo,solteiro,secundário,não,1259,não,não,celular,25,julho,184,2,-1,0,desconhecido,não
25,administrador,casado,secundário,não,18,sim,não,celular,18,julho,225,1,-1,0,desconhecido,não
25,operário,casado,secundário,não,-76,sim,não,desconhecido,12,maio,241,3,-1,0,desconhecido,não
38,técnico,solteiro,terciário,não,221,não,não,celular,20,agosto,79,3,-1,0,desconhecido,não
34,gerente,casado,terciário,não,136,sim,não,celular,22,abril,156,1,-1,0,desconhecido,não
67,operário,casado,secundário,não,16353,não,não,celular,27,outubro,223,2,-1,0,desconhecido,não
32,operário,casado,secundário,não,-63,sim,não,desconhecido,30,maio,198,1,-1,0,desconhecido,não
45,empregada doméstica,casado,primario,não,7353,não,não,celular,13,agosto,536,2,-1,0,desconhecido,não
33,operário,casado,primario,não,511,sim,não,desconhecido,21,maio,304,2,-1,0,desconhecido,não
38,administrador,casado,primario,não,3913,sim,não,celular,20,abril,196,2,315,2,falha,não
32,técnico,divorciado,secundário,não,1097,sim,não,desconhecido,12,maio,298,2,-1,0,desconhecido,não
54,aposentado,divorciado,terciário,não,6102,sim,sim,desconhecido,21,maio,86,6,-1,0,desconhecido,não
51,administrador,divorciado,secundário,não,340,sim,não,desconhecido,8,maio,186,1,-1,0,desconhecido,não
42,operário,casado,primario,não,-119,sim,não,celular,22,julho,167,3,-1,0,desconhecido,não
41,administrador,casado,secundário,não,2993,sim,não,celular,22,julho,24,12,-1,0,desconhecido,não
39,gerente,divorciado,terciário,não,3575,não,sim,celular,18,agosto,74,3,-1,0,desconhecido,não
38,operário,casado,secundário,não,361,sim,não,desconhecido,11,junho,601,1,-1,0,desconhecido,não
39,gerente,casado,secundário,não,1072,sim,não,desconhecido,27,maio,1168,2,-1,0,desconhecido,não
46,operário,casado,primario,não,2904,não,não,celular,20,abril,277,2,-1,0,desconhecido,não
50,empresário,divorciado,terciário,não,1790,não,sim,celular,6,fevereiro,748,3,-1,0,desconhecido,não
33,operário,casado,secundário,não,86,sim,não,desconhecido,19,maio,364,1,-1,0,desconhecido,não
37,técnico,casado,secundário,não,1633,sim,não,desconhecido,19,maio,229,3,-1,0,desconhecido,não
31,gerente,casado,terciário,não,8312,não,não,celular,29,agosto,43,13,-1,0,desconhecido,não
34,operário,divorciado,desconhecido,não,172,não,não,celular,15,junho,177,1,-1,0,desconhecido,sim
34,gerente,casado,terciário,não,0,sim,não,celular,7,agosto,262,1,99,2,sucesso,sim
36,gerente,casado,terciário,não,222,sim,não,celular,6,maio,317,1,169,2,falha,não
40,técnico,casado,secundário,não,109,não,não,desconhecido,20,junho,402,22,-1,0,desconhecido,não
40,operário,casado,secundário,não,1451,não,não,celular,1,junho,314,1,-1,0,desconhecido,sim
41,técnico,casado,secundário,não,1066,não,não,celular,11,fevereiro,109,3,-1,0,desconhecido,sim
52,gerente,casado,terciário,não,3163,não,não,celular,25,agosto,56,6,-1,0,desconhecido,não
40,serviços gerais,solteiro,secundário,não,888,sim,não,desconhecido,12,maio,169,2,-1,0,desconhecido,não
48,operário,solteiro,desconhecido,não,428,sim,não,celular,18,maio,127,1,-1,0,desconhecido,não
33,gerente,divorciado,secundário,não,106,não,não,celular,20,agosto,175,3,-1,0,desconhecido,não
44,técnico,divorciado,secundário,não,0,não,não,celular,12,agosto,56,2,-1,0,desconhecido,não
55,gerente,casado,terciário,não,979,não,sim,celular,8,julho,123,1,-1,0,desconhecido,não
51,administrador,casado,secundário,não,2662,não,não,telefone,28,janeiro,148,2,-1,0,desconhecido,não
34,gerente,solteiro,terciário,não,84,não,não,celular,5,fevereiro,231,1,-1,0,desconhecido,não
58,aposentado,divorciado,desconhecido,não,5920,sim,não,celular,23,julho,255,1,-1,0,desconhecido,não
39,gerente,solteiro,terciário,não,816,sim,não,celular,27,agosto,37,3,-1,0,desconhecido,não
27,desempregado,solteiro,secundário,não,3276,não,não,celular,5,agosto,106,1,110,2,outro,não
55,gerente,divorciado,desconhecido,não,2,sim,não,desconhecido,19,maio,95,1,-1,0,desconhecido,não
35,técnico,solteiro,secundário,não,-51,não,não,desconhecido,2,julho,134,2,-1,0,desconhecido,não
37,técnico,solteiro,terciário,não,3315,sim,não,celular,9,abril,820,2,-1,0,desconhecido,não
52,técnico,casado,secundário,não,196,sim,sim,celular,24,fevereiro,116,1,273,3,falha,não
41,operário,casado,secundário,não,552,sim,não,celular,12,maio,463,1,-1,0,desconhecido,não
52,administrador,casado,secundário,não,2347,não,sim,celular,12,agosto,603,3,-1,0,desconhecido,não
34,operário,solteiro,secundário,não,3723,sim,não,desconhecido,27,maio,47,5,-1,0,desconhecido,não
53,gerente,divorciado,primario,não,255,não,não,celular,19,novembro,126,1,-1,0,desconhecido,não
33,gerente,solteiro,terciário,não,3143,não,não,celular,29,junho,421,2,-1,0,desconhecido,sim
47,autônomo,casado,secundário,não,0,não,não,desconhecido,26,junho,174,8,-1,0,desconhecido,não
35,operário,casado,secundário,não,6411,sim,sim,celular,30,janeiro,144,1,266,2,falha,não
33,gerente,solteiro,terciário,não,1909,não,não,celular,8,agosto,191,2,-1,0,desconhecido,não
55,operário,casado,primario,não,3873,não,não,telefone,21,abril,222,1,-1,0,desconhecido,não
58,autônomo,casado,primario,não,1013,sim,não,celular,11,agosto,206,1,461,1,falha,sim
44,administrador,casado,secundário,não,262,sim,não,celular,9,julho,74,1,-1,0,desconhecido,não
25,serviços gerais,solteiro,secundário,não,3217,sim,não,desconhecido,28,maio,24,1,-1,0,desconhecido,não
37,técnico,solteiro,secundário,não,5436,sim,não,celular,6,maio,7,11,351,1,falha,não
41,operário,casado,primario,não,2067,sim,não,celular,15,maio,493,7,-1,0,desconhecido,não
34,operário,solteiro,secundário,não,215,não,não,celular,3,março,350,3,-1,0,desconhecido,sim
36,serviços gerais,divorciado,secundário,não,1594,não,não,desconhecido,6,junho,250,3,-1,0,desconhecido,não
44,autônomo,casado,terciário,não,134,não,não,celular,28,agosto,86,4,-1,0,desconhecido,não
34,empresário,divorciado,terciário,não,262,não,não,celular,20,novembro,371,1,-1,0,desconhecido,não
56,operário,divorciado,primario,não,3021,não,não,desconhecido,9,junho,419,2,-1,0,desconhecido,não
43,gerente,divorciado,terciário,não,388,sim,não,desconhecido,8,maio,2087,2,-1,0,desconhecido,sim
28,operário,solteiro,secundário,não,3412,sim,não,celular,15,maio,22,4,-1,0,desconhecido,não
54,operário,casado,secundário,não,1291,sim,não,desconhecido,5,maio,266,1,-1,0,desconhecido,não
37,técnico,divorciado,secundário,não,79,não,não,celular,21,julho,191,1,-1,0,desconhecido,não
59,autônomo,casado,terciário,não,2013,não,não,celular,19,fevereiro,222,4,94,2,sucesso,sim
58,operário,divorciado,secundário,não,543,não,sim,telefone,17,julho,264,3,-1,0,desconhecido,não
56,gerente,divorciado,terciário,não,1016,sim,não,desconhecido,9,junho,184,5,-1,0,desconhecido,não
32,operário,solteiro,secundário,não,604,não,sim,celular,28,maio,95,3,-1,0,desconhecido,não
42,gerente,solteiro,terciário,não,525,não,não,celular,13,agosto,127,2,-1,0,desconhecido,não
52,aposentado,divorciado,primario,não,353,não,não,celular,31,julho,395,4,-1,0,desconhecido,não
46,gerente,casado,terciário,não,964,sim,não,celular,8,abril,174,1,-1,0,desconhecido,não
37,administrador,casado,terciário,não,3913,sim,não,celular,27,abril,124,1,-1,0,desconhecido,sim
39,operário,casado,primario,não,879,sim,não,desconhecido,26,maio,102,2,-1,0,desconhecido,não
31,administrador,casado,secundário,não,314,sim,não,celular,17,abril,279,1,-1,0,desconhecido,não
59,empregada doméstica,casado,primario,não,0,não,não,celular,27,agosto,76,11,-1,0,desconhecido,não
38,operário,casado,secundário,não,1370,sim,não,celular,11,maio,472,2,-1,0,desconhecido,não
58,gerente,casado,secundário,não,37,não,não,celular,18,agosto,84,11,-1,0,desconhecido,não
34,gerente,solteiro,terciário,não,673,sim,sim,celular,20,novembro,271,1,184,1,falha,não
40,serviços gerais,casado,secundário,não,-342,sim,não,desconhecido,26,maio,754,1,-1,0,desconhecido,não
20,estudante,solteiro,secundário,não,291,não,não,telefone,11,maio,172,5,371,5,falha,não
34,técnico,casado,secundário,não,209,sim,sim,celular,8,abril,375,2,-1,0,desconhecido,não
31,técnico,solteiro,terciário,não,438,sim,não,celular,12,agosto,130,2,-1,0,desconhecido,não
39,administrador,solteiro,secundário,não,1242,sim,não,desconhecido,12,maio,303,3,-1,0,desconhecido,não
34,empresário,casado,terciário,não,355,sim,não,desconhecido,16,maio,261,1,-1,0,desconhecido,não
24,operário,casado,secundário,não,204,sim,sim,celular,17,abril,229,3,-1,0,desconhecido,não
41,gerente,casado,terciário,não,10758,sim,não,celular,1,junho,288,1,-1,0,desconhecido,não
40,gerente,casado,terciário,não,5,sim,não,celular,18,novembro,219,3,-1,0,desconhecido,não
45,técnico,solteiro,secundário,não,410,sim,não,desconhecido,30,maio,891,4,-1,0,desconhecido,sim
36,gerente,casado,terciário,não,605,sim,não,desconhecido,26,maio,204,1,-1,0,desconhecido,não
53,gerente,casado,terciário,não,4,não,não,desconhecido,20,junho,19,6,-1,0,desconhecido,não
23,estudante,solteiro,secundário,não,8494,não,não,celular,25,agosto,158,2,-1,0,desconhecido,não
42,empresário,casado,primario,não,198,sim,não,desconhecido,8,maio,314,1,-1,0,desconhecido,não
48,operário,casado,secundário,não,841,sim,não,desconhecido,19,maio,215,1,-1,0,desconhecido,não
34,gerente,casado,terciário,não,8,não,não,celular,25,agosto,169,4,-1,0,desconhecido,não
36,administrador,casado,secundário,não,470,sim,não,celular,31,julho,101,4,-1,0,desconhecido,não
43,aposentado,casado,secundário,não,520,sim,não,desconhecido,20,maio,15,13,-1,0,desconhecido,não
36,operário,casado,secundário,não,439,sim,não,desconhecido,21,maio,260,5,-1,0,desconhecido,não
49,operário,casado,secundário,não,-454,sim,não,celular,14,maio,558,1,-1,0,desconhecido,sim
55,aposentado,casado,secundário,não,466,não,não,desconhecido,17,junho,287,4,-1,0,desconhecido,não
